ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
478,measured-agent-decision,1785823381179222,1785823381193009,13787,201,1131115,8181387,1158281,run-root-183170,false,false,true,true,1,0,2,0,0,0,0,
479,measured-agent-decision,1785823381179222,1785823381194708,15486,201,1290723,8269213,1324573,run-root-183213,false,false,true,true,1,0,2,0,0,0,0,
480,measured-agent-decision,1785823381179222,1785823381197309,18087,201,1446292,8542714,1542500,run-root-183261,false,false,true,true,1,0,2,1,0,0,0,
481,measured-agent-decision,1785823381179222,1785823381198444,19222,201,1545723,8649147,1582698,run-root-183292,false,false,true,true,1,0,2,0,0,0,0,
482,measured-agent-decision,1785823381179222,1785823381199896,20674,201,1534316,8634220,1563778,run-root-183297,false,false,true,true,1,0,2,0,0,0,0,
483,measured-agent-decision,1785823381179222,1785823381199997,20775,201,1641945,8742770,2064635,run-root-183323,false,false,true,true,5,4,2,0,0,0,0,
484,measured-agent-decision,1785823381179222,1785823381201107,21885,201,1966723,8994097,2174807,run-root-183402,false,false,true,true,2,1,2,0,0,0,0,
485,measured-agent-decision,1785823381179222,1785823381201199,21977,201,1717859,8799005,1743384,run-root-183341,false,false,true,true,1,0,2,0,0,0,0,
486,measured-agent-decision,1785823381179222,1785823381204609,25387,201,1963841,9009635,2153672,run-root-183400,false,false,true,true,2,1,2,0,0,0,0,
487,measured-agent-decision,1785823381179222,1785823381204768,25546,201,215353,5999539,460598,run-root-182895,false,false,true,true,2,1,2,0,0,0,0,
488,measured-agent-decision,1785823381179222,1785823381206087,26865,201,2076888,9090219,2182962,run-root-183439,false,false,true,true,2,1,2,0,0,0,0,
489,measured-agent-decision,1785823381179222,1785823381207035,27813,201,2222472,9159946,2296356,run-root-183499,false,false,true,true,1,0,2,0,0,0,0,
490,measured-agent-decision,1785823381179222,1785823381207547,28325,201,2126807,9120261,2156044,run-root-183464,false,false,true,true,1,0,2,0,0,0,0,
491,measured-agent-decision,1785823381179222,1785823381207622,28400,201,1539841,8642372,1568333,run-root-183296,false,false,true,true,1,0,2,0,0,0,0,
