ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
5442,basic-agent-run,1785810419326058,1785810419327342,1284,201,2195734,3299959,2267057,run-root-103044,false,false,true,true,1,0,2,0,0,0,0,
5443,basic-agent-run,1785810419327486,1785810419328443,957,201,7706566,8802427,7786737,run-root-105200,false,false,true,true,1,0,2,0,0,0,0,
5444,basic-agent-run,1785810419328915,1785810419330553,1638,201,7799094,8823768,7851779,run-root-105236,false,false,true,true,1,0,2,0,0,0,0,
5445,basic-agent-run,1785810419330344,1785810419331665,1321,201,8239482,9268908,8273157,run-root-105414,false,false,true,true,1,0,2,0,0,0,0,
5446,basic-agent-run,1785810419331772,1785810419332808,1036,201,2205413,3293203,2262918,run-root-103046,false,false,true,true,1,0,2,0,0,0,0,
5447,basic-agent-run,1785810419333201,1785810419333920,719,201,9646294,10678222,9710927,run-root-105969,false,false,true,true,1,0,2,0,0,0,0,
5448,basic-agent-run,1785810419334629,1785810419335048,419,201,8924649,10011881,8949643,run-root-105680,false,false,true,true,1,0,2,0,0,0,0,
5449,basic-agent-run,1785810419336058,1785810419337306,1248,201,2128349,3239285,2174879,run-root-103022,false,false,true,true,1,0,2,0,0,0,0,
5450,basic-agent-run,1785810419337486,1785810419338416,930,201,9547607,10573540,9604161,run-root-105925,false,false,true,true,1,0,2,0,0,0,0,
5451,basic-agent-run,1785810419338915,1785810419340528,1613,201,8214190,9239245,8275641,run-root-105404,false,false,true,true,1,0,2,0,0,0,0,
5452,basic-agent-run,1785810419340344,1785810419341685,1341,201,8956303,10220342,8985694,run-root-105684,false,false,true,true,1,0,2,0,0,0,0,
5453,basic-agent-run,1785810419341772,1785810419343783,2011,201,9668993,10697663,9726810,run-root-105984,false,false,true,true,1,0,2,0,0,0,0,
5454,basic-agent-run,1785810419343201,1785810419343821,620,201,2207084,3300857,2248878,run-root-103055,false,false,true,true,1,0,2,0,0,0,0,
5455,basic-agent-run,1785810419344629,1785810419344966,337,201,2158669,3253361,2186269,run-root-103033,false,false,true,true,1,0,2,0,0,0,0,
5456,basic-agent-run,1785810419346058,1785810419347082,1024,201,9633231,10674262,9670419,run-root-105971,false,false,true,true,1,0,2,0,0,0,0,
5457,basic-agent-run,1785810419347486,1785810419348048,562,201,2170946,3267215,2268736,run-root-103041,false,false,true,true,1,0,2,0,0,0,0,
5458,basic-agent-run,1785810419348915,1785810419350167,1252,201,7588485,8617430,7647306,run-root-105168,false,false,true,true,1,0,2,0,0,0,0,
5459,detached-workflow,1785810419350344,1785810419351286,942,201,8241739,9276423,8298130,run-root-105425,false,false,true,true,1,0,2,1,0,0,0,
5460,basic-agent-run,1785810419351772,1785810419353499,1727,201,2132613,3226905,2179751,run-root-103025,false,false,true,true,1,0,2,0,0,0,0,
5461,basic-agent-run,1785810419353201,1785810419354607,1406,201,8774304,9819260,8826441,run-root-105631,false,false,true,true,1,0,2,0,0,0,0,
5462,basic-agent-run,1785810419354629,1785810419354991,362,201,2148512,3256421,2199510,run-root-103035,false,false,true,true,1,0,2,0,0,0,0,
5463,basic-agent-run,1785810419356058,1785810419357622,1564,201,2108052,3217812,2167291,run-root-103026,false,false,true,true,1,0,2,0,0,0,0,
