ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
3331,measured-agent-decision,1785821901946776,1785821901947494,718,201,4690873,17544993,5793243,run-root-172830,false,false,true,true,1,0,2,1,1,1,1,
3332,measured-agent-decision,1785821901948932,1785821901951082,2150,201,2898442,15548058,3680457,run-root-172197,false,false,true,true,1,0,2,0,0,0,0,
3333,measured-agent-decision,1785821901951087,1785821901952428,1341,201,2861744,15537064,3620641,run-root-172173,false,false,true,true,1,0,2,1,0,0,0,
3334,measured-agent-decision,1785821901953242,1785821901954969,1727,201,2779694,15501599,3539988,run-root-172155,false,false,true,true,1,0,2,0,0,0,0,
3335,measured-agent-decision,1785821901955397,1785821901956560,1163,201,4664858,16085231,7582604,run-root-172823,false,false,true,true,5,4,2,0,0,0,0,
3336,measured-agent-decision,1785821901957552,1785821901958478,926,201,4875158,16135262,5965779,run-root-172887,false,false,true,true,1,0,2,1,0,0,0,
3337,measured-agent-decision,1785821901959707,1785821901961024,1317,201,4178581,15880579,6792772,run-root-172651,false,false,true,true,2,1,2,0,0,0,0,
3338,measured-agent-decision,1785821901961863,1785821901962479,616,201,3631533,15741644,4536562,run-root-172452,false,false,true,true,1,0,2,1,1,1,1,
3339,measured-agent-decision,1785821901964018,1785821901965327,1309,201,4755178,16066782,5816039,run-root-172847,false,false,true,true,1,0,2,1,0,0,0,
3340,measured-agent-decision,1785821901966173,1785821901967484,1311,201,2876047,15531434,4996170,run-root-172189,false,false,true,true,2,1,2,0,0,0,0,
3341,measured-agent-decision,1785821901968328,1785821901969233,905,201,2863039,15515111,4998166,run-root-172187,false,false,true,true,2,1,2,0,0,0,0,
3342,measured-agent-decision,1785821901970483,1785821901971430,947,201,2860826,15523976,5060406,run-root-172186,false,false,true,true,2,1,2,0,0,0,0,
3343,measured-agent-decision,1785821901972638,1785821901973496,858,201,2830312,15518981,3591601,run-root-172174,false,false,true,true,1,0,2,1,0,0,0,
3344,measured-agent-decision,1785821901974794,1785821901975551,757,201,2911257,15537871,3694453,run-root-172205,false,false,true,true,1,0,2,0,0,0,0,
3345,measured-agent-decision,1785821901976949,1785821901978769,1820,201,2851599,15510981,3634021,run-root-172180,false,false,true,true,1,0,2,1,0,0,0,
3346,measured-agent-decision,1785821901979104,1785821901980638,1534,201,4162046,15867754,6881570,run-root-172654,false,false,true,true,5,4,2,0,0,0,0,
3347,measured-agent-decision,1785821901981259,1785821901982081,822,201,4874711,16122343,5992668,run-root-172895,false,false,true,true,1,0,2,1,0,0,0,
3348,measured-agent-decision,1785821901983414,1785821901984207,793,201,2859269,15511618,5204859,run-root-172192,false,false,true,true,5,4,2,0,0,0,0,
3349,measured-agent-decision,1785821901985570,1785821901986574,1004,201,2854430,15505620,5076904,run-root-172191,false,false,true,true,2,1,2,0,0,0,0,
3350,measured-agent-decision,1785821901987725,1785821901988443,718,201,4897314,16121074,7924194,run-root-172907,false,false,true,true,5,4,2,0,0,0,0,
3351,measured-agent-decision,1785821901989880,1785821901990812,932,201,2842098,15498802,3775421,run-root-172185,false,false,true,true,2,1,2,0,0,0,0,
3352,measured-agent-decision,1785821901992035,1785821901993999,1964,201,2853484,15511571,5214367,run-root-172194,false,false,true,true,5,4,2,0,0,0,0,
3353,measured-agent-decision,1785821901994190,1785821901995123,933,201,4962577,16093602,6086510,run-root-172930,false,false,true,true,1,0,2,1,0,0,0,
3354,measured-agent-decision,1785821901996345,1785821901997628,1283,201,4921279,16113687,6048133,run-root-172919,false,false,true,true,1,0,2,0,0,0,0,
3355,measured-agent-decision,1785821901998501,1785821901999774,1273,201,2854372,15513489,3647853,run-root-172201,false,false,true,true,1,0,2,0,0,0,0,
3356,measured-agent-decision,1785821902000656,1785821902001895,1239,201,4660708,16335976,5702866,run-root-172834,false,false,true,true,1,0,2,0,0,0,0,
3357,measured-agent-decision,1785821902002811,1785821902003297,486,201,3688651,16061134,4607582,run-root-172496,false,false,true,true,1,0,2,0,0,0,0,
3358,measured-agent-decision,1785821902004966,1785821902006761,1795,201,3602320,15686334,4468850,run-root-172457,false,false,true,true,1,0,2,0,0,0,0,
3359,measured-agent-decision,1785821902007121,1785821902008903,1782,201,4939422,16059256,6076547,run-root-172927,false,false,true,true,1,0,2,1,0,0,0,
3360,measured-agent-decision,1785821902009276,1785821902010027,751,201,2876888,15784959,3649135,run-root-172209,false,false,true,true,1,0,2,0,0,0,0,
3361,measured-agent-decision,1785821902011432,1785821902012942,1510,201,2874492,15792400,3645588,run-root-172210,false,false,true,true,1,0,2,0,0,0,0,
3362,measured-agent-decision,1785821902013587,1785821902014745,1158,201,4159354,15849002,5130677,run-root-172664,false,false,true,true,1,0,2,0,0,0,0,
3363,measured-agent-decision,1785821902015742,1785821902015983,241,201,2862841,15493999,3654866,run-root-172204,false,false,true,true,1,0,2,0,0,0,0,
3364,measured-agent-decision,1785821902017897,1785821902019111,1214,201,2902688,15785229,3743349,run-root-172217,false,false,true,true,1,0,2,1,0,0,0,
3365,measured-agent-decision,1785821902020052,1785821902021288,1236,201,4929229,16051243,6083862,run-root-172928,false,false,true,true,1,0,2,1,0,0,0,
3366,measured-agent-decision,1785821902022207,1785821902023603,1396,201,4251385,16264231,5272072,run-root-172700,false,false,true,true,1,0,2,0,0,0,0,
3367,measured-agent-decision,1785821902024363,1785821902025246,883,201,2858307,15488229,3651794,run-root-172211,false,false,true,true,1,0,2,0,0,0,0,
